name,ONS_ID,total_population,percent_of_pop_that_are_seniors_age_65,number_of_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_who_know_neither_english_nor_french,number_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_of_pop_in_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,pop
VAR_ID,VAR200,VAR1,VAR2,VAR3,VAR4,VAR5,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR201
type,NA,Number,Percentage 2,Number,Average,Median,Number,Percentage 2,Number,Average,Number,Average,Percentage 1,Average,Average,Percentage 1,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Number,Percentage 2,Percentage 2,Number,Percentage 1,Number,Percentage 2,NA
category,NA,Demographics,Demographics,Demographics,Demographics,Demographics,Family comp,Family comp,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Income/work,Language,Language,Language,Language,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Indigenous,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Demographics,Demographics,Income/work,Income/work,Income/work,Income/work,Education,Education,Education,Education,Education,Education,Income/work,Income/work,Income/work,Income/work,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Commuting,Demographics,Demographics,Language,Language,NA
ottawa_airport_3001,3001,0,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,visible_minority_chinese
ottawa_alta_vista_3002,3002,280,0.214285714,60,36,32.4,35,0.125,180,50400,170,59600,10.8,49600,59200,8.8,35,0.125,100,0.357142857,125,0.446428571,60,0.214285714,10,0.035087719,0.070175439,20,0,0,0,0,0,0,0,0,0.350877193,100,0.035087719,10,0,0,0,1,285,0.487804878,100,0.1,10,0,0,100,1,100,1,50,0.526315789,0,0,25,0.625,0,0,0,0,0,0,0,0,0,45,0.160714286,20,0.070175439,visible_minority_chinese
ottawa_bayshore_3003,3003,390,0.243589744,95,49.5,55.2,30,0.076923077,355,43600,305,51600,14,43200,51600,10.2,35,0.08974359,35,0.08974359,260,0.666666667,95,0.243589744,0,0,0.194805195,75,0,0,0,0,0,0,0,0,0.675324675,260,0.025974026,10,0.08974359,0.155555556,35,1,385,0.608108108,225,0.066666667,15,40,0.170212766,200,0.85106383,170,0.723404255,80,0.390243902,0,0,115,0.884615385,10,0.076923077,0,0,0,0,0,0,0.076923077,45,0.115384615,10,0.025974026,visible_minority_chinese
ottawa_beacon_hill_south_cardinal_heights_3004,3004,265,0.20754717,55,42,40,35,0.132075472,215,40800,200,39600,21.6,36800,41600,10.2,45,0.169811321,50,0.188679245,160,0.603773585,55,0.20754717,0,0,0.150943396,40,0,0,0,0,0,0,0,0,0.603773585,160,0.132075472,35,0,0,0,1,265,0.622222222,140,0.214285714,30,0,0,125,1,110,0.88,45,0.45,0,0,40,0.666666667,10,0.166666667,10,0.166666667,0,0,0,0,0,40,0.150943396,15,0.056603774,visible_minority_chinese
ottawa_beaverbrook_3005,3005,305,0.098360656,30,35.2,38.4,15,0.049180328,200,54000,190,60800,11.2,46800,58800,8.8,0,0,90,0.295081967,180,0.590163934,30,0.098360656,0,0,0.098360656,30,0,0,0,0,0,0,0,0,0.573770492,175,0.06557377,20,0,0,0,1,305,0.622222222,140,0.071428571,10,0,0,150,1,135,0.9,80,0.615384615,0,0,40,0.888888889,0,0,0,0,0,0,0,0,0,45,0.147540984,0,0,visible_minority_chinese
ottawa_beechwood_cemetery_3006,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visible_minority_chinese
ottawa_bells_corners_east_3007,3007,30,0,0,30,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.6,15,0,0,0,0,0,1,25,1,15,0,0,0,0,15,1,15,1,0,0,0,0,10,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,visible_minority_chinese
